County,polyFitResult,a,b,c
BROWN,"(array([-4.61488511e-01,  1.85578087e+03, -1.86558725e+06]), array([486.34785221]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.46148851139577907,1855.7808687575869,-1865587.252471502
MAHNOMEN,"(array([-4.53096903e-01,  1.81668017e+03, -1.82088665e+06]), array([300.30631362]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4530969031078758,1816.6801698740974,-1820886.6535904163
ISANTI,"(array([-4.32092907e-01,  1.73927865e+03, -1.75019628e+06]), array([68.5360415]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4320929070204499,1739.2786460619448,-1750196.2763547646
LE SUEUR,"(array([-4.16233766e-01,  1.67377907e+03, -1.68264271e+06]), array([98.92157844]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4162337661753907,1673.7790706940277,-1682642.7090541143
STEARNS,"(array([-4.14785215e-01,  1.66868511e+03, -1.67821973e+06]), array([119.01238763]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.4147852147329351,1668.6851146745955,-1678219.7311567024
CLAY,"(array([-4.13161838e-01,  1.66219308e+03, -1.67173083e+06]), array([290.91346406]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.41316183810481816,1662.193081688493,-1671730.831012649
RICE,"(array([-3.92982018e-01,  1.58120827e+03, -1.59048510e+06]), array([197.59586166]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3929820179215512,1581.2082664898214,-1590485.1036260945
RED LAKE,"(array([-3.74550450e-01,  1.50617205e+03, -1.51414274e+06]), array([53.42275475]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3745504495110205,1506.1720527882512,-1514142.7427721731
KOOCHICHING,"(array([-3.69255744e-01,  1.48350152e+03, -1.48992750e+06]), array([434.89823935]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.36925574413224366,1483.5015229795047,-1489927.4966777693
MCLEOD,"(array([-3.61438561e-01,  1.45368342e+03, -1.46157837e+06]), array([39.58504496]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3614385614020053,1453.6834164361787,-1461578.365336257
OTTER TAIL,"(array([-3.46778222e-01,  1.39529613e+03, -1.40346539e+06]), array([114.1809366]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.34677822171156847,1395.2961286028171,-1403465.3921125967
REDWOOD,"(array([-3.34090909e-01,  1.34434248e+03, -1.35231365e+06]), array([195.80743007]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3340909090587341,1344.3424823878831,-1352313.6454988655
KANDIYOHI,"(array([-3.33316683e-01,  1.34120784e+03, -1.34912664e+06]), array([126.53455547]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3333166832515717,1341.207841895739,-1349126.6370489171
BLUE EARTH,"(array([-3.29870130e-01,  1.32661229e+03, -1.33370818e+06]), array([101.2794106]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.32987012982565045,1326.6122875331896,-1333708.181488045
SWIFT,"(array([-3.26573427e-01,  1.31334056e+03, -1.32036379e+06]), array([61.0023077]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.32657342653576016,1313.3405592888719,-1320363.78691022
MARSHALL,"(array([-3.22777223e-01,  1.29874326e+03, -1.30639338e+06]), array([16.25183816]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.32277722274973736,1298.7432566325288,-1306393.3837546136
DODGE,"(array([-3.16533467e-01,  1.27367148e+03, -1.28123231e+06]), array([39.77161836]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.31653346652857267,1273.671478501639,-1281232.3065233505
FARIBAULT,"(array([-3.06418581e-01,  1.23360552e+03, -1.24153179e+06]), array([99.07556196]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.3064185813656767,1233.6055192675371,-1241531.7881223091
NICOLLET,"(array([-2.87362637e-01,  1.15596548e+03, -1.16248905e+06]), array([48.55904097]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2873626373185963,1155.9654843381702,-1162489.0463749743
JACKSON,"(array([-2.79095904e-01,  1.12143674e+03, -1.12647816e+06]), array([712.59478269]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.27909590410913965,1121.436738314852,-1126478.159768569
BENTON,"(array([-2.78746254e-01,  1.12002380e+03, -1.12503321e+06]), array([58.35716033]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2787462537309687,1120.0238011371762,-1125033.2058070174
WRIGHT,"(array([-2.73301698e-01,  1.09993434e+03, -1.10664605e+06]), array([201.71024729]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2733016982288923,1099.9343403663113,-1106646.045284575
GOODHUE,"(array([-2.60889111e-01,  1.04894710e+03, -1.05430874e+06]), array([668.52470536]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2608891107659795,1048.9471024016207,-1054308.742808238
SCOTT,"(array([-2.51948052e-01,  1.01293876e+03, -1.01806609e+06]), array([9.50199801]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2519480519167118,1012.9387611125599,-1018066.0940787459
